Unit ID,,Fuel type,,Country/Area,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
L100000318146,,oil and gas,,Norway,66.8385298,5.0534000,,,,2022,,,,,,,,,,,,,,,,
L100000320774,,oil and gas,,Norway,71.1271000,20.7728000,,,,1981,,,,,,,,,,,,,,,,
L100000318149,,oil and gas,,Norway,71.3910386,22.9771000,,,,2022,,,,,,,,,,,,,,,,
L100000320778,,oil and gas,,Norway,71.9987000,20.4754000,,,,2014,,,,,,,,,,,,,,,,
L100000318150,,oil and gas,,Norway,72.4181831,20.1405000,,,,2021,,,,,,,,,,,,,,,,
L100000318151,,oil and gas,,Norway,72.4498808,20.3658000,,,,2022,,,,,,,,,,,,,,,,
L100000312588,,gas,,Russia,73.1336000,68.5575000,,,,2020,,,,,,,,,,,,,,,,
L100000321017,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309502,,oil,,Canada,53.5920000,-110.1750000,,,,,,,,,,,,,,,,,,,,
L100000309611,,oil and gas,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321031,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309613,,oil and gas,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321039,,oil,,Canada,56.3582000,-116.7683000,,,,,,,,,,,,,,,,,,,,
L100000309515,,oil,,Canada,54.3710000,-110.5110000,,,,,,,,,,,,,,,,,,,,
L100000309614,,oil and gas,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309615,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309523,,oil,,Canada,54.3950000,-110.7200000,,,,,,,,,,,,,,,,,,,,
L100000321004,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309526,,oil and gas,,Canada,56.6900000,-112.6770000,,,,,,,,,,,,,,,,,,,,
L100000321001,,oil,,Canada,55.5560000,-110.8159000,,,,,,,,,,,,,,,,,,,,
L100000309528,,oil and gas,,Canada,53.7150000,-110.2520000,,,,,,,,,,,,,,,,,,,,
L100000321003,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309529,,oil and gas,,Canada,55.0700000,-110.6450000,,,,,,,,,,,,,,,,,,,,
L100000321012,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321038,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321002,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321037,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321008,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309547,,oil,,Canada,53.6500000,-110.7970000,,,,,,,,,,,,,,,,,,,,
L100000309549,,oil,,Canada,54.3320000,-110.4930000,,,,,,,,,,,,,,,,,,,,
L100000309554,,oil,,Canada,54.0160000,-110.8830000,,,,,,,,,,,,,,,,,,,,
L100000321021,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321005,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309561,,oil,,Canada,55.9140000,-113.2670000,,,,,,,,,,,,,,,,,,,,
L100000321009,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309568,,oil and gas,,Canada,54.3710000,-110.6790000,,,,,,,,,,,,,,,,,,,,
L100000321035,,oil,,Canada,56.1322000,-113.0296000,,,,,,,,,,,,,,,,,,,,
L100000309617,,oil and gas,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309618,,oil and gas,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321016,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000309579,,oil and gas,,Canada,56.3410000,-116.7290000,,,,,,,,,,,,,,,,,,,,
L100000300873,,gas,,Netherlands,55.3970000,3.7980000,,,,1988,,,,,,,,,,,,,,,,
L100000300874,,gas,,Netherlands,55.3090000,3.8270000,,,,1992,,,,,,,,,,,,,,,,
L100000300875,,gas,,Netherlands,55.1160000,3.8230000,,,,1987,,,,,,,,,,,,,,,,
L100000304537,,oil and gas,,Norway,67.0716000,7.0193000,,,,1997,,,,,,,,,,,,,,,,
L100000318170,,oil and gas,,Indonesia,-9.1706000,130.4554000,,,,2000,,,,,,,,,,,,,,,,
L100000300002,,oil and gas,,Brazil,-21.35976114724732,-39.61210971064001,,,,2001,,,,,,,,,,,,,,,,
L100000310942,,oil and gas,,Nigeria,4.5650000,8.3730000,,,,,,,,,,,,,,,,,,,,
L100000310943,,oil,,Nigeria,4.2290000,7.6420000,,,,2002,,,,,,,,,,,,,,,,
L100000317618,,oil,,Iran,32.6871000,47.2725000,,,,,,,,,,,,,,,,,,,,
L100000317619,,oil,,Iran,32.6871000,47.2725000,,,,,,,,,,,,,,,,,,,,
L100000302763,,oil and gas,,Colombia,6.1662000,-74.5399000,,,,,,,,,,,,,,,,,,,,
L100001061735,,oil and gas,,Nigeria,,,,,,,,,,,,,,,,,,,,,,
L100000314953,,oil and gas,,United States,29.9940000,-92.1605000,,,,1937,,,,,,,,,,,,,,,,
L100000313160,,gas,,Canada,50.8840000,-108.5210000,,,,,,,,,,,,,,,,,,,,
L100000313161,,gas,,Canada,50.7310000,-108.5660000,,,,,,,,,,,,,,,,,,,,
L100000313162,,gas,,Canada,50.8910000,-108.7990000,,,,,,,,,,,,,,,,,,,,
L100000313163,,gas,,Canada,50.8110000,-108.9470000,,,,,,,,,,,,,,,,,,,,
L100000312417,,oil,,Kuwait,30.0450000,47.7749000,,,,,,,,,,,,,,,,,,,,
L100000312408,,oil and gas,,Kuwait,29.0834000,47.6854000,,,,,,,,,,,,,,,,,,,,
L100000313164,,oil,,Canada,53.2480000,-109.8100000,,,,1981,,,,,,,,,,,,,,,,
L100000313165,,oil,,Canada,53.2460000,-109.8100000,,,,1956,,,,,,,,,,,,,,,,
L100000318223,,gas,,United Kingdom,56.7955000,1.8872000,,,,,,,,,,,,,,,,,,,,
L100000310945,,oil and gas,,Nigeria,5.6630000,5.2960000,,,,1970,,,,,,,,,,,,,,,,
L100000302349,,oil and gas,,Mexico,19.2491000,-92.1876000,,,,1977,,,,,,,,,,,,,,,,
L100000310946,,oil and gas,,Nigeria,5.7610000,4.4660000,,,,,,,,,,,,,,,,,,,,
L100000314119,,oil,,Saudi Arabia,26.1687000,49.7841000,,,,1940,,,,,,,,,,,,,,,,
L100000312911,,oil and gas,,Azerbaijan,40.0090000,50.7980000,,,,2011,,,,,,,,,,,,,,,,
L100000312210,,oil,,Iran,31.1738000,48.5263000,,,,1968,,,,,,,,,,,,,,,,
L100000312260,,oil and gas,,United Arab Emirates,24.4220000,53.3130000,,,,1969,,,,,,,,,,,,,,,,
L100000312721,,oil and gas,,Libya,26.4180000,18.3700000,,,,1967,,,,,,,,,,,,,,,,
L100000312507,,oil and gas,,Oman,21.1780000,55.8542000,,,,1998,,,,,,,,,,,,,,,,
L100000312558,,oil and gas,,Oman,21.1780000,55.8542000,,,,2017,,,,,,,,,,,,,,,,
L100000311623,,oil and gas,,Egypt,29.6723000,28.5337000,,,,1969,,,,,,,,,,,,,,,,
L100000311948,,oil,,Iraq,32.3650000,47.3060000,,,,1969,,,,,,,,,,,,,,,,
L100000319106,,oil,,Saudi Arabia,27.3120000,49.0051000,,,,1940,,,,,,,,,,,,,,,,
L100000311625,,gas,,Egypt,31.3612000,31.1783000,,,,1967,,,,,,,,,,,,,,,,
L100000311917,,gas,,Egypt,,,,,,1971,,,,,,,,,,,,,,,,
L100000320255,,oil,,Egypt,28.8640000,33.1671000,,,,1945,,,,,,,,,,,,,,,,
L100000318037,,oil,,Saudi Arabia,26.7900000,50.4312000,,,,1963,,,,,,,,,,,,,,,,
L100000312192,,oil,,Iran,29.2920000,49.5320000,,,,1961,,,,,,,,,,,,,,,,
L100000312752,,oil and gas,,Angola,-7.6620000,11.9873000,,,,2003,,,,,,,,,,,,,,,,
L100000302766,,oil and gas,,Colombia,0.3235000,-76.9148000,,,,1965,,,,,,,,,,,,,,,,
